
 num     #instances         #bytes  class name
 209:           374          11968  java.lang.ThreadLocal$ThreadLocalMap$Entry
 210:           743          11888  java.util.concurrent.locks.ReentrantLock
 211:           123          11808  scala.tools.nsc.interpreter.IMain$Request
 212:           361          11552  org.antlr.v4.runtime.dfa.DFA
 213:           714          11424  java.util.HashSet
 214:           476          11424  java.util.LinkedList$Node
 215:           236          11328  java.util.zip.ZipFile
 216:           117          11232  org.apache.spark.executor.TaskMetrics
 217:           466          11184  org.apache.log4j.CategoryKey
 218:           174          11136  org.apache.spark.scheduler.StageInfo
 219:           111          11048  [Ljava.lang.reflect.Method;
 220:           138          11040  org.datanucleus.store.rdbms.schema.RDBMSColumnInfo
 221:           341          10912  sun.misc.FDBigInteger
 222:            80          10880  scala.reflect.internal.Symbols$PackageObjectClassSymbol
 223:           336          10752  java.io.File
 224:           429          10296  org.apache.spark.ui.scope.RDDOperationEdge
 225:           316          10112  org.apache.spark.sql.types.StructField
 226:           122           9952  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 227:           247           9880  sun.nio.cs.UTF_8$Decoder
 228:           297           9504  org.apache.spark.sql.execution.ui.SQLPlanMetric
 229:           395           9472  [Ljava.security.cert.Certificate;
 230:           452           9472  [Lorg.codehaus.janino.IClass;
 231:           236           9440  scala.reflect.io.FileZipArchive
 232:           231           9240  scala.reflect.internal.Trees$Apply
 233:           378           9072  scala.collection.immutable.HashSet$HashTrieSet
 234:            87           9048  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$12
 235:           266           8512  java.util.LinkedList
 236:           118           8496  java.util.regex.Pattern
 237:           150           8400  org.datanucleus.store.rdbms.table.ColumnImpl
 238:           262           8384  org.apache.xerces.xni.QName
 239:           149           8344  java.lang.Class$ReflectionData
 240:             1           8216  [Lscala.math.BigInt;
 241:           204           8160  org.antlr.v4.runtime.dfa.DFAState
 242:           334           8128  [Ljava.lang.reflect.Constructor;
 243:           252           8064  org.apache.spark.sql.catalyst.expressions.ExpressionInfo
 244:           331           7944  java.util.concurrent.ConcurrentLinkedQueue$Node
 245:           323           7880  [Lorg.antlr.v4.runtime.atn.ATNConfig;
 246:           161           7728  scala.tools.nsc.transform.InfoTransform$Phase
 247:           481           7696  com.sun.proxy.$Proxy1
 248:           120           7680  com.google.protobuf.DescriptorProtos$FieldDescriptorProto
 249:            29           7656  org.datanucleus.metadata.ClassMetaData
 250:           239           7648  org.datanucleus.PersistenceConfiguration$PropertyMapping
 251:           189           7560  scala.reflect.internal.Trees$TypeTree
 252:            94           7520  org.apache.spark.ui.jobs.UIData$JobUIData
 253:           313           7512  org.apache.spark.sql.catalyst.expressions.ExprId
 254:           179           7160  java.lang.invoke.MethodType
 255:           220           7128  [Ljava.io.ObjectStreamField;
 256:           297           7128  org.slf4j.impl.Log4jLoggerAdapter
 257:           118           7080  [Ljava.lang.ref.SoftReference;
 258:           221           7072  java.util.regex.Pattern$Curly
 259:           221           7072  scala.reflect.runtime.SymbolLoaders$TopClassCompleter
 260:           294           7056  scala.reflect.internal.Types$ExistentialType
 261:           176           7040  scala.reflect.internal.Trees$Modifiers
 262:            44           7040  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$3
 263:            31           6944  org.spark_project.jetty.servlet.ServletContextHandler
 264:           216           6912  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 265:           431           6896  scala.ref.WeakReference
 266:           215           6880  java.lang.invoke.LambdaForm$Name
 267:           142           6816  scala.reflect.internal.Trees$ValDef
 268:           140           6720  java.nio.HeapByteBuffer
 269:           418           6688  [Ljava.security.Principal;
 270:           418           6688  java.security.ProtectionDomain$Key
 271:           119           6664  com.google.protobuf.Descriptors$FieldDescriptor
 272:           416           6656  scala.tools.nsc.symtab.classfile.ClassfileParser$unpickler$
 273:           166           6640  org.antlr.v4.runtime.atn.ATNConfigSet
 274:           138           6624  scala.tools.nsc.transform.Transform$Phase
 275:           272           6528  org.antlr.v4.runtime.misc.Interval
 276:            80           6400  com.google.common.cache.LocalCache$Segment
 277:           200           6400  org.apache.spark.sql.execution.ShuffledRowRDDPartition
 278:           264           6336  org.apache.hadoop.conf.Configuration$DeprecatedKeyInfo
 279:           112           6272  java.beans.MethodDescriptor
 280:           376           6016  java.util.concurrent.atomic.AtomicReferenceArray
 281:            75           6000  org.apache.spark.ui.jobs.UIData$ShuffleReadMetricsUIData
 282:           107           5992  scala.tools.nsc.settings.MutableSettings$BooleanSetting
 283:           123           5904  scala.tools.nsc.interpreter.IMain$ReadEvalPrint
 284:           184           5888  scala.reflect.internal.Types$UniqueTypeBounds
 285:           245           5880  sun.reflect.generics.tree.SimpleClassTypeSignature
 286:           243           5832  java.util.concurrent.ConcurrentLinkedQueue
 287:            81           5832  org.apache.spark.sql.catalyst.expressions.objects.Invoke
 288:           243           5832  sun.reflect.NativeConstructorAccessorImpl
 289:           182           5824  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 290:           239           5736  org.apache.spark.sql.catalyst.analysis.FunctionRegistry$$anonfun$7
 291:            42           5712  io.netty.buffer.PoolArena$DirectArena
 292:            42           5712  io.netty.buffer.PoolArena$HeapArena
 293:           357           5712  java.util.concurrent.atomic.AtomicBoolean
 294:           178           5696  scala.Tuple2$mcII$sp
 295:           141           5640  java.math.BigInteger
 296:           241           5600  [Lorg.datanucleus.metadata.ColumnMetaData;
 297:            50           5600  scala.reflect.internal.Symbols$Symbol$$anon$1
 298:           174           5568  org.apache.spark.ui.scope.RDDOperationGraph
 299:           136           5440  org.apache.spark.sql.execution.ui.SparkPlanGraphNode
 300:           134           5360  org.apache.spark.internal.config.ConfigEntryWithDefault
 301:           222           5328  java.util.concurrent.atomic.AtomicLong
 302:           166           5312  org.datanucleus.store.rdbms.sql.expression.SQLExpressionFactory$MethodKey
 303:           218           5232  java.beans.MethodRef
 304:           163           5216  java.io.ObjectStreamClass$WeakClassKey
 305:            12           5208  [D
 306:           324           5184  java.util.concurrent.atomic.AtomicInteger
 307:           213           5112  java.util.regex.Pattern$GroupHead
 308:           213           5112  java.util.regex.Pattern$GroupTail
 309:           213           5112  scala.reflect.internal.Types$UniqueConstantType
 310:            31           4960  org.spark_project.jetty.servlet.ServletHandler
 311:           305           4880  java.lang.Byte
 312:           215           4824  [Lorg.datanucleus.store.rdbms.mapping.datastore.DatastoreMapping;
 313:           149           4768  org.apache.log4j.ProvisionNode
 314:           195           4680  javax.management.ImmutableDescriptor
 315:           117           4680  org.apache.spark.executor.ShuffleReadMetrics
 316:            65           4680  org.apache.spark.sql.catalyst.expressions.Alias
 317:            32           4608  org.spark_project.jetty.servlet.ServletHolder
 318:           115           4600  scala.tools.nsc.util.MergedClassPath
 319:           287           4592  sun.reflect.DelegatingConstructorAccessorImpl
 320:           114           4560  java.io.ObjectStreamClass$FieldReflectorKey
 321:           245           4504  [Lsun.reflect.generics.tree.TypeArgument;
 322:            33           4488  io.netty.channel.nio.NioEventLoop
 323:            31           4464  [Ljava.util.Queue;
 324:            31           4464  [Ljava.util.concurrent.ConcurrentMap;
 325:            87           4448  [Ljava.security.ProtectionDomain;
 326:           276           4416  java.lang.Short
 327:             2           4272  scala.reflect.internal.StdNames$nme$
 328:           133           4256  org.apache.spark.internal.config.ConfigBuilder
 329:           105           4200  org.datanucleus.store.rdbms.identifier.ColumnIdentifier
 330:           174           4176  org.apache.spark.util.collection.BitSet
 331:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 332:           172           4128  org.apache.thrift.meta_data.FieldMetaData
 333:           172           4128  org.apache.thrift.protocol.TField
 334:             1           4120  [Lscala.math.BigDecimal;
 335:           171           4104  org.apache.spark.sql.execution.ui.SQLStageMetrics
 336:           102           4080  scala.reflect.internal.pickling.UnPickler$Scan$LazyTypeRefAndAlias
 337:           168           4032  org.spark_project.jetty.util.component.ContainerLifeCycle$Bean
 338:             1           4024  [Lorg.antlr.v4.runtime.misc.Interval;
 339:           100           4000  java.security.AccessControlContext
 340:           125           4000  scala.Tuple4
 341:            99           3960  java.io.ObjectStreamClass$FieldReflector
 342:           246           3936  java.util.LinkedHashMap$LinkedValues
 343:           245           3920  sun.reflect.generics.tree.ClassTypeSignature
 344:           122           3904  scala.tools.nsc.interpreter.IMain$Request$ResultObjectSourceCode$
 345:            81           3888  java.util.TreeMap
 346:            53           3816  java.beans.PropertyDescriptor
 347:           118           3776  scala.tools.nsc.symtab.SymbolLoaders$SourcefileLoader
 348:           116           3712  scala.collection.immutable.Map$WithDefault
 349:           116           3712  sun.security.util.ObjectIdentifier
 350:           223           3568  scala.reflect.ClassTag$$anon$1
 351:           148           3552  org.apache.spark.rdd.RDDOperationScope
 352:           147           3528  java.util.jar.Attributes$Name
 353:           110           3520  javax.management.MBeanAttributeInfo
 354:            73           3504  java.lang.invoke.LambdaForm
 355:           109           3488  scala.tools.nsc.interpreter.MemberHandlers$ValHandler
 356:            62           3472  java.lang.invoke.MethodTypeForm
 357:            78           3464  [Ljava.lang.invoke.LambdaForm$Name;
 358:           143           3432  org.apache.thrift.meta_data.FieldValueMetaData
 359:           141           3384  java.io.ObjectStreamClass$ClassDataSlot
 360:           141           3384  jline.console.Operation
 361:           210           3360  com.sun.proxy.$Proxy9
 362:            60           3360  java.security.Provider$Service
 363:            60           3360  org.antlr.v4.runtime.atn.StarLoopEntryState
 364:             5           3344  [[Lorg.antlr.v4.runtime.atn.ATNConfig;
 365:            69           3312  java.util.Properties
 366:           138           3312  org.apache.spark.sql.types.Metadata
 367:           206           3296  java.util.concurrent.atomic.AtomicReference
 368:           137           3288  java.security.Provider$ServiceKey
 369:            82           3280  org.datanucleus.store.types.TypeManager$JavaType
 370:           136           3264  java.util.regex.Pattern$Single
 371:           136           3264  org.apache.spark.sql.catalyst.trees.Origin
 372:           102           3264  org.apache.spark.sql.execution.ui.SparkPlanGraphEdge
 373:            68           3264  org.datanucleus.store.rdbms.mapping.java.StringMapping
 374:            19           3224  [Ljava.lang.StackTraceElement;
 375:            67           3216  org.apache.spark.sql.catalyst.expressions.Literal
 376:           100           3200  io.netty.util.Recycler$DefaultHandle
 377:           100           3200  java.security.Permissions
 378:            80           3200  org.antlr.v4.runtime.atn.LoopEndState
 379:           100           3200  org.spark_project.jetty.util.IncludeExclude
 380:            57           3192  org.apache.spark.sql.catalyst.expressions.BoundReference
 381:            98           3136  java.io.FilePermission
 382:           195           3120  java.util.HashMap$EntrySet
 383:            77           3080  org.datanucleus.store.rdbms.mapping.RDBMSMappingManager$RDBMSTypeMapping
 384:            64           3072  java.util.logging.LogManager$LoggerWeakRef
 385:           128           3072  org.spark_project.jetty.io.ByteBufferPool$Bucket
 386:           128           3072  org.spark_project.jetty.util.ConcurrentArrayQueue
 387:           128           3072  org.spark_project.jetty.util.ConcurrentArrayQueue$Block
 388:            53           3016  [Ljavax.management.MBeanAttributeInfo;
 389:           123           2952  scala.tools.nsc.interpreter.IMain$Request$ClassBasedWrapper
 390:            29           2944  [Ljava.lang.invoke.MethodHandle;
 391:           122           2928  java.lang.ThreadLocal$ThreadLocalMap
 392:            91           2912  org.antlr.v4.runtime.atn.ArrayPredictionContext
 393:           182           2912  scala.collection.immutable.Set$Set1
 394:            42           2896  [[B
 395:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 396:            60           2880  org.antlr.v4.runtime.atn.StarBlockStartState
 397:            40           2880  scala.reflect.internal.Types$AbstractArgsTypeRef
 398:           119           2856  com.google.protobuf.Descriptors$DescriptorPool$DescriptorIntPair
 399:            71           2840  org.spark_project.jetty.http.HttpHeader
 400:           118           2832  java.util.Collections$SynchronizedRandomAccessList
 401:           118           2832  scala.collection.immutable.Stream$Cons
 402:           117           2808  org.apache.spark.executor.InputMetrics
 403:           117           2808  org.apache.spark.executor.OutputMetrics
 404:           117           2808  org.apache.spark.executor.ShuffleWriteMetrics
 405:           117           2808  org.apache.spark.util.CollectionAccumulator
 406:            39           2808  org.apache.spark.util.ParentClassLoader
 407:            25           2800  org.spark_project.jetty.server.handler.gzip.GzipHandler
 408:           174           2784  org.apache.spark.util.collection.OpenHashSet$IntHasher
 409:            58           2784  scala.reflect.internal.Scopes$$anon$1
 410:           172           2752  scala.tools.nsc.settings.MutableSettings$Setting$$anonfun$5
 411:           172           2752  sun.reflect.BootstrapConstructorAccessorImpl
 412:           114           2736  java.util.Collections$UnmodifiableRandomAccessList
 413:            38           2736  org.codehaus.janino.ByteArrayClassLoader
 414:            38           2736  sun.nio.ch.EPollArrayWrapper
 415:            38           2736  sun.nio.ch.EPollSelectorImpl
 416:            52           2720  [Lorg.apache.spark.sql.types.StructField;
